wl,P01.10,P01.12,P01.15,P01.20,P02.07,P02.10,P02.12,P02.15,P02.17,P02.20,P03.07,P03.10,P03.12,P03.15,P03.20,P04.07,P04.10,P04.12,P04.15,P04.20,P05.05,P05.07,P05.10,P06.10,P06.12,P06.15,P06.17,P06.20,P07.07,P07.10,P07.12,P07.15,P07.17,P07.20,P08.05,P08.07,P08.10,P08.12,P09.07,P09.10,P09.12,P09.15,P09.17,P09.20,P10.15,P10.20,P10.22,P10.25,P11.07,P11.10,P11.12,P12.07,P12.10,P12.12,P12.15,P13.10,P13.12,P13.15,P13.17,P13.20,P14.17,P14.20,P15.07,P15.10,P15.15,P15.22,P15.25
300,-0.008125,-0.081875,-0.1025,-0.075,-0.136875,0.055,0.014375,-0.078125,-0.0625,-0.1325,-0.09875,-0.08125,0.029375,0.024375,0.04375,-0.035625,-0.014375,-0.00125,-0.103125,-0.118125,-0.08875,-0.0175,-0.08375,0.0075,-0.050625,-0.030625,-0.03375,-0.064375,-0.06625,0.02,0.234375,0.411875,0.165,0.06125,0.050625,0.163125,0.040625,-0.056875,0.031875,0.110625,0.09625,0.07375,-0.0225,-0.058125,-0.011875,0.156875,-0.065625,0.038125,-0.03625,0.056875,-0.076875,0.389375,0.4975,0.07875,-0.06125,0.07875,0.39125,0.484375,-0.004375,-0.066875,-0.13375,-0.03375,-0.111875,-0.07875,-0.111875,-0.123125,-0.13
302,-0.002,-0.094,-0.1065,-0.068,-0.147,0.061,0.021,-0.0745,-0.0555,-0.1245,-0.087,-0.075,0.037,0.0345,0.039,-0.044,-0.0205,-6.94E-19,-0.099,-0.107,-0.0975,-0.0125,-0.073,0.0145,-0.056,-0.028,-0.032,-0.067,-0.075,0.0185,0.2415,0.4315,0.1705,0.061,0.058,0.167,0.042,-0.0575,0.029,0.1155,0.1045,0.087,-0.014,-0.052,-0.014,0.171,-0.0585,0.024,-0.0505,0.0665,-0.076,0.408,0.519,0.0795,-0.054,0.0875,0.41,0.5065,0.0015,-0.0655,-0.1345,-0.043,-0.0935,-0.0645,-0.1165,-0.1325,-0.1235
304,0.000909091,-0.113636364,-0.113181818,-0.06,-0.157272727,0.078636364,0.030909091,-0.077727273,-0.051818182,-0.115454545,-0.075,-0.066363636,0.045454545,0.046818182,0.036818182,-0.056818182,-0.027272727,-0.002272727,-0.104545455,-0.086818182,-0.103181818,-0.018636364,-0.066363636,0.027727273,-0.060909091,-0.026363636,-0.030454545,-0.067272727,-0.08,0.022727273,0.26,0.457272727,0.183181818,0.066363636,0.069090909,0.178636364,0.041363636,-0.058636364,0.025454545,0.123636364,0.116363636,0.097727273,-0.010909091,-0.037727273,-0.011818182,0.193181818,-0.047272727,0.010454545,-0.062272727,0.069090909,-0.076363636,0.446363636,0.564545455,0.084545455,-0.030454545,0.103636364,0.443636364,0.540454545,0.018636364,-0.063181818,-0.14,-0.049545455,-0.069545455,-0.045,-0.125454545,-0.138181818,-0.122727273
306,-0.003181818,-0.125454545,-0.112727273,-0.053181818,-0.160454545,0.091818182,0.04,-0.076818182,-0.036818182,-0.106363636,-0.066818182,-0.055454545,0.063181818,0.066363636,0.037272727,-0.061363636,-0.027272727,-0.011363636,-0.107727273,-0.071818182,-0.103636364,-0.019090909,-0.057272727,0.030909091,-0.058636364,-0.021818182,-0.031363636,-0.070454545,-0.074090909,0.033181818,0.286363636,0.467727273,0.193636364,0.075,0.085454545,0.185909091,0.045454545,-0.060454545,0.024545455,0.120909091,0.132727273,0.104545455,-0.005454545,-0.022272727,-0.012272727,0.218181818,-0.026363636,0.004545455,-0.07,0.070909091,-0.08,0.518181818,0.617727273,0.101818182,-0.012272727,0.125,0.471818182,0.555909091,0.034545455,-0.053181818,-0.140909091,-0.056818182,-0.036818182,-0.026363636,-0.131818182,-0.13,-0.116363636
308,-0.005217391,-0.12826087,-0.107391304,-0.046956522,-0.146956522,0.09826087,0.05,-0.058695652,-0.019565217,-0.104782609,-0.053043478,-0.006521739,0.132173913,0.123913043,0.038695652,-0.057826087,-0.009130435,-0.009565217,-0.100869565,-0.064782609,-0.093478261,-0.000869565,-0.038695652,0.033478261,-0.044782609,0.021304348,-0.00826087,-0.065217391,-0.043913043,0.086521739,0.366086957,0.48173913,0.216521739,0.092173913,0.123478261,0.202608696,0.072608696,-0.035652174,0.033043478,0.135217391,0.157391304,0.113913043,-0.000869565,0.000869565,0.002608696,0.247826087,0.03173913,0.038695652,-0.072608696,0.078695652,-0.085652174,0.761304348,0.718695652,0.144347826,0.023478261,0.19173913,0.541304348,0.580869565,0.064782609,-0.035217391,-0.138695652,-0.066086957,-0.004347826,-0.006086957,-0.133913043,-0.12173913,-0.101304348
310,0.009545455,-0.124090909,-0.089545455,-0.039545455,-0.119090909,0.113181818,0.066363636,-0.036363636,-0.014545455,-0.116818182,-0.027727273,0.106363636,0.323636364,0.268181818,0.058636364,-0.04,0.030909091,0.015909091,-0.074545455,-0.054545455,-0.062272727,0.04,0.010909091,0.049545455,-0.004545455,0.122727273,0.074090909,-0.025909091,0.043181818,0.207727273,0.549545455,0.536818182,0.265909091,0.136818182,0.188636364,0.261363636,0.139545455,0.037727273,0.076818182,0.177272727,0.205909091,0.141363636,0.015454545,0.040454545,0.050909091,0.311363636,0.170454545,0.18,-0.058636364,0.09,-0.088181818,1.357727273,0.972272727,0.25,0.113181818,0.366818182,0.744090909,0.667727273,0.129090909,0.01,-0.145909091,-0.054545455,0.036818182,0.019090909,-0.125909091,-0.1,-0.061818182
312,0.048636364,-0.095,-0.066818182,-0.028636364,-0.08,0.141363636,0.093636364,0.002727273,0.007272727,-0.117272727,0.028181818,0.362272727,0.731363636,0.565454545,0.114545455,0.012272727,0.099090909,0.067272727,-0.025,-0.025454545,0.020909091,0.113181818,0.106363636,0.111363636,0.075909091,0.341363636,0.256818182,0.062727273,0.205909091,0.421818182,0.902727273,0.663181818,0.363181818,0.225454545,0.305,0.370909091,0.284545455,0.189090909,0.178181818,0.256363636,0.285,0.204090909,0.071818182,0.108181818,0.139090909,0.440909091,0.457272727,0.515909091,-0.020454545,0.118181818,-0.072727273,2.515454545,1.478636364,0.469545455,0.275,0.711818182,1.139545455,0.853181818,0.256363636,0.128181818,-0.144090909,-0.025,0.090909091,0.041363636,-0.114090909,-0.046818182,0.047727273
314,0.123636364,-0.024090909,-0.026818182,0.012727273,-0.026363636,0.200909091,0.154090909,0.082272727,0.079545455,-0.085909091,0.162727273,0.929545455,1.565,1.155909091,0.222727273,0.143636364,0.223181818,0.181363636,0.093181818,0.035909091,0.177272727,0.267727273,0.324090909,0.272727273,0.257272727,0.812272727,0.654090909,0.24,0.522272727,0.825454545,1.556363636,0.928181818,0.567272727,0.406363636,0.541818182,0.594545455,0.575909091,0.495909091,0.381818182,0.415454545,0.435909091,0.341818182,0.220909091,0.248181818,0.304545455,0.711818182,1.073636364,1.285454545,0.064090909,0.205909091,-0.019090909,4.731363636,2.454545455,0.898636364,0.570454545,1.399090909,1.883636364,1.24,0.500909091,0.384545455,-0.124090909,0.035909091,0.19,0.077272727,-0.093181818,0.072727273,0.337727273
316,0.188636364,0.026363636,-0.01,0.044545455,0.013636364,0.262272727,0.195909091,0.151818182,0.152272727,-0.045,0.322727273,1.565,2.415454545,1.738636364,0.315454545,0.275454545,0.329090909,0.303181818,0.215909091,0.091363636,0.319545455,0.423636364,0.557272727,0.473181818,0.447727273,1.341363636,1.072272727,0.417727273,0.844545455,1.236818182,2.18,1.198181818,0.774090909,0.581363636,0.775454545,0.830454545,0.862727273,0.813181818,0.587272727,0.580454545,0.583181818,0.488636364,0.379090909,0.390454545,0.469090909,0.985,1.77,2.193636364,0.140454545,0.304090909,0.025454545,6.913181818,3.406818182,1.311363636,0.865454545,2.097727273,2.611818182,1.655454545,0.762727273,0.642272727,-0.106818182,0.098181818,0.27,0.106818182,-0.09,0.204545455,0.718181818
318,0.265909091,0.081363636,0.032272727,0.094545455,0.071818182,0.36,0.250909091,0.244545455,0.249545455,0.045,0.588181818,2.551363636,3.606363636,2.535454545,0.455909091,0.453181818,0.472727273,0.453181818,0.367272727,0.185909091,0.530909091,0.631818182,0.894090909,0.778181818,0.762272727,2.167727273,1.64,0.669545455,1.315909091,1.786818182,2.949090909,1.555909091,1.052727273,0.823636364,1.105454545,1.155454545,1.242727273,1.247727273,0.865909091,0.793181818,0.790454545,0.687727273,0.607272727,0.613636364,0.708636364,1.382272727,2.904090909,3.660454545,0.239090909,0.442272727,0.075909091,9.796363636,4.639090909,1.874545455,1.302272727,3.061818182,3.542272727,2.216363636,1.144090909,0.980909091,-0.087727273,0.194090909,0.365454545,0.160454545,-0.080909091,0.445,1.397727273
320,0.312727273,0.113636364,0.073636364,0.132272727,0.12,0.429090909,0.293636364,0.315,0.321818182,0.13,0.832272727,3.443636364,4.507727273,3.103636364,0.554545455,0.587727273,0.583636364,0.544545455,0.467272727,0.259090909,0.704545455,0.774090909,1.150454545,1.048636364,1.049545455,2.894090909,2.065,0.868636364,1.689090909,2.165909091,3.437727273,1.803181818,1.251818182,1.013181818,1.355454545,1.38,1.526363636,1.564545455,1.054545455,0.949545455,0.938636364,0.832272727,0.783181818,0.797272727,0.883181818,1.708636364,3.990909091,5.006363636,0.310454545,0.542727273,0.102272727,11.83409091,5.464090909,2.285454545,1.641818182,3.765454545,4.151818182,2.608181818,1.437272727,1.246363636,-0.069545455,0.263636364,0.421818182,0.197727273,-0.071818182,0.678636364,2.092727273
322,0.335652174,0.13826087,0.121304348,0.166956522,0.173913043,0.476521739,0.336086957,0.380869565,0.383043478,0.203043478,1.116086957,4.410869565,5.24826087,3.501304348,0.62826087,0.711304348,0.672173913,0.615652174,0.557391304,0.315652174,0.859565217,0.89173913,1.387826087,1.356086957,1.377391304,3.647391304,2.434782609,1.043913043,2.03173913,2.456086957,3.719565217,1.983478261,1.420434783,1.185217391,1.566521739,1.565652174,1.773478261,1.820434783,1.197826087,1.077391304,1.066086957,0.956086957,0.942608696,0.986086957,1.029130435,2.032608696,5.311304348,6.524347826,0.375217391,0.62826087,0.115217391,13.34956522,6.013043478,2.60173913,1.942608696,4.330434783,4.550869565,2.915652174,1.70173913,1.5,-0.056521739,0.325217391,0.453478261,0.213043478,-0.065652174,0.953478261,2.982608696
324,0.337727273,0.133181818,0.146818182,0.170454545,0.213636364,0.489545455,0.364090909,0.433181818,0.415,0.243636364,1.389090909,5.284545455,5.726363636,3.688636364,0.672727273,0.784545455,0.725,0.659545455,0.613181818,0.333636364,0.967727273,0.973181818,1.569545455,1.650909091,1.681363636,4.319545455,2.692727273,1.168636364,2.285,2.633181818,3.808181818,2.089545455,1.527272727,1.312272727,1.702272727,1.694090909,1.954545455,1.985454545,1.280909091,1.156818182,1.158181818,1.041818182,1.061363636,1.141818182,1.134545455,2.305909091,6.679090909,7.982272727,0.403181818,0.684545455,0.106363636,14.24727273,6.277727273,2.802272727,2.174090909,4.696363636,4.754545455,3.113636364,1.905454545,1.687727273,-0.062727273,0.363636364,0.438181818,0.205909091,-0.074545455,1.199545455,3.918636364
326,0.337272727,0.135,0.169090909,0.172272727,0.244545455,0.491363636,0.403181818,0.472272727,0.426363636,0.274090909,1.624545455,5.971818182,5.889545455,3.663181818,0.698181818,0.802272727,0.754545455,0.686818182,0.634545455,0.341363636,1.039545455,1.021818182,1.683636364,1.925454545,1.956363636,4.822272727,2.811363636,1.248636364,2.42,2.673636364,3.730454545,2.147727273,1.582727273,1.401363636,1.770454545,1.760454545,2.060454545,2.050454545,1.302272727,1.195454545,1.218181818,1.09,1.146818182,1.268181818,1.201363636,2.518181818,7.977272727,9.178181818,0.411818182,0.718636364,0.103181818,14.46909091,6.271818182,2.899545455,2.325454545,4.840454545,4.782727273,3.200454545,2.028636364,1.804545455,-0.080454545,0.385909091,0.400909091,0.205909091,-0.078636364,1.403636364,4.792272727
328,0.35,0.149545455,0.185,0.177727273,0.286818182,0.500454545,0.461363636,0.523181818,0.462272727,0.308181818,1.925909091,6.694090909,5.813181818,3.445454545,0.718636364,0.804090909,0.797727273,0.73,0.653181818,0.351818182,1.113181818,1.07,1.802272727,2.348636364,2.313636364,5.303636364,2.897727273,1.336363636,2.494090909,2.657727273,3.554545455,2.207272727,1.622727273,1.495,1.827272727,1.815454545,2.154545455,2.09,1.307272727,1.254545455,1.28,1.138181818,1.248636364,1.405454545,1.254090909,2.769090909,9.651363636,10.53363636,0.437272727,0.760454545,0.125909091,14.22454545,6.083636364,2.969090909,2.455,4.860909091,4.738181818,3.262727273,2.126363636,1.935,-0.080454545,0.431363636,0.352272727,0.206818182,-0.085454545,1.656363636,5.934090909
330,0.360909091,0.169545455,0.182272727,0.191818182,0.321363636,0.520909091,0.498636364,0.559545455,0.514090909,0.34,2.178636364,7.135,5.585909091,3.174545455,0.736818182,0.806818182,0.825909091,0.775,0.675454545,0.366818182,1.148636364,1.121818182,1.886363636,2.765909091,2.613636364,5.570909091,2.930909091,1.390454545,2.511818182,2.632272727,3.396818182,2.251363636,1.662272727,1.562727273,1.864545455,1.866818182,2.202272727,2.111818182,1.316818182,1.296818182,1.328181818,1.179545455,1.333181818,1.511818182,1.294545455,2.962272727,10.92454545,11.50045455,0.455454545,0.792727273,0.165909091,13.75227273,5.882727273,3.004090909,2.529090909,4.814090909,4.678636364,3.310454545,2.190909091,2.020909091,-0.07,0.475,0.322727273,0.208636364,-0.090454545,1.876363636,6.833181818
332,0.360454545,0.191818182,0.163181818,0.203636364,0.351818182,0.542727273,0.520909091,0.598636364,0.574545455,0.382727273,2.505909091,7.512727273,5.151363636,2.783636364,0.761818182,0.801363636,0.856818182,0.812727273,0.691818182,0.390909091,1.174545455,1.177272727,1.975454545,3.417272727,2.991818182,5.781818182,2.915,1.428181818,2.489545455,2.565454545,3.196363636,2.278181818,1.695,1.627272727,1.886363636,1.924545455,2.235454545,2.123181818,1.310909091,1.329545455,1.370454545,1.229545455,1.43,1.642727273,1.343181818,3.160909091,12.36863636,12.58954545,0.447272727,0.82,0.217272727,12.93,5.591363636,3.032727273,2.602272727,4.683636364,4.561818182,3.338636364,2.257727273,2.097272727,-0.070454545,0.525909091,0.281363636,0.211818182,-0.095909091,2.185,7.906363636
