wl,GB1_10
300,28.3875
302,28.428
304,28.45454545
306,28.495
308,28.46478261
310,28.38136364
312,28.23454545
314,28.05727273
316,27.88318182
318,27.62681818
320,27.36181818
322,26.99869565
324,26.55954545
326,26.12863636
328,25.53136364
330,25.05545455
332,24.47818182
334,24.04590909
336,23.55
338,23.06545455
340,22.5726087
342,22.10090909
344,21.70227273
346,21.25636364
348,20.96363636
350,20.67318182
352,20.46636364
354,20.21521739
356,19.98590909
358,19.77956522
360,19.61818182
362,19.52782609
364,19.49454545
366,19.47565217
368,19.465
370,19.44652174
372,19.42181818
374,19.42956522
376,19.48136364
378,19.61434783
380,19.79681818
382,20.08521739
384,20.45090909
386,20.91217391
388,21.41090909
390,21.9573913
392,22.56454545
394,23.29043478
396,24.16227273
398,25.38043478
400,26.91954545
402,29.08043478
404,31.89727273
406,35.73652174
408,40.18090909
410,45.25652174
412,49.95681818
414,53.04347826
416,55.005
418,55.45
420,55.16681818
422,55.28521739
424,56.94695652
426,59.09173913
428,61.44521739
430,63.11434783
432,64.88956522
434,65.29772727
436,64.60434783
438,64.25090909
440,63.70913043
442,62.19086957
444,61.01217391
446,60.5073913
448,60.24173913
450,59.93565217
452,60.165
454,59.70391304
456,58.35391304
458,57.30913043
460,56.72478261
462,56.40956522
464,56.63130435
466,57.45782609
468,58.0173913
470,58.19086957
472,58.18391304
474,58.02391304
476,57.35041667
478,55.93826087
480,53.83869565
482,52.19869565
484,50.45782609
486,49.18130435
488,48.96652174
490,49.24086957
492,49.7173913
494,50.18391304
496,50.67521739
498,51.01391304
500,51.20434783
502,51.02625
504,50.76304348
506,50.26434783
508,49.75583333
510,49.27521739
512,48.75130435
514,48.22541667
516,47.75478261
518,47.27695652
520,46.7475
522,46.11521739
524,45.47347826
526,44.95208333
528,44.37347826
530,43.87695652
532,43.65583333
534,43.50173913
536,43.22478261
538,42.93208333
540,42.65434783
542,42.34869565
544,42.15166667
546,42.0673913
548,42.01
550,41.91083333
552,41.77416667
554,41.58217391
556,41.30458333
558,41.02083333
560,40.7773913
562,40.48130435
564,40.25166667
566,40.04208333
568,39.87
570,39.71333333
572,39.61125
574,39.59875
576,39.62478261
578,39.68
580,39.78333333
582,39.8825
584,39.94347826
586,40.0375
588,40.15375
590,40.21333333
592,40.26782609
594,40.325
596,40.37625
598,40.4025
600,40.45166667
602,40.52125
604,40.615
606,40.66875
608,40.71958333
610,40.84166667
612,40.95
614,41.09875
616,41.27
618,41.4775
620,41.65791667
622,41.78958333
624,41.93833333
626,42.10583333
628,42.36291667
630,42.70541667
632,43.074
634,43.47375
636,43.97458333
638,44.48
640,45.015
642,45.58791667
644,46.1556
646,46.8888
648,47.53458333
650,48.265
652,49.10166667
654,50.01416667
656,50.93458333
658,51.8892
660,52.9984
662,54.0372
664,54.95041667
666,55.95541667
668,56.905
670,57.84958333
672,58.86291667
674,59.8136
676,60.7752
678,61.7072
680,62.6712
682,63.6388
684,64.5876
686,65.5548
688,66.40958333
690,67.265
692,68.05083333
694,68.73625
696,69.36416667
698,69.8956
700,70.5188
702,71.0948
704,71.6284
706,72.3028
708,73.1176
710,73.8012
712,74.5056
714,75.4644
716,76.43
718,77.208
720,78.1052
722,79.0988
724,79.9696
726,80.606
728,81.3736
730,82.2784
732,83.2504
734,84.2892
736,85.5592
738,86.926
740,88.2744
742,89.4096
744,90.4332
746,91.364
748,92.335
750,93.24346154
752,94.32076923
754,95.46846154
756,96.67230769
758,97.9888
760,99.074
762,100.116
764,101.1216
766,102.2428
768,103.4196
770,104.456
772,105.08
774,105.4076923
776,105.7896154
778,105.9857692
780,106.1930769
782,106.9612
784,108.0168
786,108.65
788,108.9669231
790,109.2180769
792,109.1338462
794,109.455
796,110.5884
798,111.4376923
800,111.3680769
802,111.5253846
804,111.4526923
806,110.5861538
808,110.2784
810,110.8492308
812,111.0765385
814,111.1580769
816,111.8273077
818,112.6940741
820,113.5969231
822,114.4815385
824,114.8992308
826,114.6361538
828,114.4157692
830,114.3092308
832,114.1284615
834,113.8281481
836,113.5525926
838,112.7780769
840,111.2107692
842,109.2522222
844,106.8173077
846,105.1234615
848,106.4522222
850,108.1181481
852,109.6130769
854,112.3253846
856,114.0611111
858,113.0076923
860,111.8292308
862,110.8248148
864,110.0459259
866,110.717037
868,112.1892593
870,113.4655556
872,114.9922222
874,116.0377778
876,116.4423077
878,116.1255556
880,116.0637037
882,116.4611111
884,116.6914815
886,116.9937037
888,117.1255556
890,117.2288889
892,117.5107407
894,117.452963
896,116.5421429
898,115.5848148
900,115.0051852
