BEEID,CHOICENUM,CHOICE
1,1,1
1,2,1
1,3,0
1,4,0
1,5,1
1,6,0
1,7,1
1,8,1
1,9,0
1,10,1
1,11,1
1,12,1
1,13,1
1,14,0
1,15,1
1,16,0
1,17,0
1,18,0
1,19,1
1,20,1
1,21,1
1,22,1
1,23,0
1,24,1
1,25,1
1,26,1
1,27,1
1,28,0
1,29,1
1,30,0
1,31,1
1,32,1
1,33,0
1,34,0
1,35,1
1,36,1
1,37,1
1,38,1
1,39,1
1,40,0
1,41,1
1,42,1
1,43,0
1,44,1
1,45,1
1,46,1
1,47,1
1,48,0
1,49,1
1,50,1
1,51,0
1,52,1
1,53,1
1,54,1
1,55,0
1,56,1
1,57,1
1,58,1
1,59,1
1,60,0
2,1,0
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,0
2,11,1
2,12,0
2,13,0
2,14,0
2,15,1
2,16,1
2,17,0
2,18,0
2,19,1
2,20,0
2,21,1
2,22,0
2,23,1
2,24,1
2,25,0
2,26,1
2,27,0
2,28,0
2,29,1
2,30,0
2,31,1
2,32,1
2,33,0
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,40,0
2,41,1
2,42,0
2,43,1
2,44,1
2,45,0
2,46,1
2,47,1
2,48,0
2,49,1
2,50,1
2,51,1
2,52,1
2,53,0
2,54,1
2,55,0
2,56,1
2,57,1
2,58,0
2,59,1
2,60,0
3,1,1
3,2,1
3,3,0
3,4,1
3,5,1
3,6,1
3,7,0
3,8,1
3,9,1
3,10,0
3,11,1
3,12,0
3,13,0
3,14,1
3,15,0
3,16,1
3,17,0
3,18,1
3,19,1
3,20,1
3,21,1
3,22,0
3,23,0
3,24,1
3,25,1
3,26,0
3,27,0
3,28,1
3,29,1
3,30,1
3,31,1
3,32,1
3,33,1
3,34,1
3,35,0
3,36,1
3,37,1
3,38,0
3,39,1
3,40,1
3,41,0
3,42,1
3,43,1
3,44,0
3,45,1
3,46,0
3,47,1
3,48,1
3,49,1
3,50,0
3,51,0
3,52,1
3,53,1
3,54,1
3,55,1
3,56,0
3,57,1
3,58,0
3,59,1
3,60,1
4,1,1
4,2,1
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,1
4,10,1
4,11,1
4,12,0
4,13,0
4,14,1
4,15,1
4,16,0
4,17,0
4,18,0
4,19,1
4,20,0
4,21,1
4,22,1
4,23,1
4,24,0
4,25,1
4,26,1
4,27,0
4,28,1
4,29,0
4,30,1
4,31,1
4,32,1
4,33,1
4,34,0
4,35,1
4,36,0
4,37,1
4,38,1
4,39,1
4,40,1
4,41,1
4,42,1
4,43,1
4,44,1
4,45,1
4,46,1
4,47,1
4,48,0
4,49,1
4,50,0
4,51,1
4,52,1
4,53,0
4,54,1
4,55,1
4,56,1
4,57,1
4,58,1
4,59,0
4,60,1
5,1,0
5,2,1
5,3,0
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,0
5,13,0
5,14,1
5,15,1
5,16,1
5,17,1
5,18,0
5,19,1
5,20,1
5,21,1
5,22,1
5,23,1
5,24,0
5,25,0
5,26,0
5,27,1
5,28,0
5,29,0
5,30,1
5,31,1
5,32,0
5,33,1
5,34,1
5,35,1
5,36,0
5,37,1
5,38,0
5,39,1
5,40,0
5,41,0
5,42,1
5,43,1
5,44,0
5,45,1
5,46,1
5,47,0
5,48,0
5,49,1
5,50,0
5,51,0
5,52,1
5,53,1
5,54,1
5,55,0
5,56,1
