BEEID,CHOICENUM,TEST,CHOICE
1,1,LEARNING,1
1,2,LEARNING,1
1,3,LEARNING,1
1,4,LEARNING,1
1,5,LEARNING,1
1,6,LEARNING,1
1,7,LEARNING,1
1,8,LEARNING,1
1,9,LEARNING,1
1,10,LEARNING,1
1,1,TRANSFER,1
1,2,TRANSFER,1
1,3,TRANSFER,1
1,4,TRANSFER,1
1,5,TRANSFER,1
1,6,TRANSFER,1
1,7,TRANSFER,0
1,8,TRANSFER,1
1,9,TRANSFER,0
1,10,TRANSFER,1
1,1,CONTROL,1
1,2,CONTROL,1
1,3,CONTROL,1
1,4,CONTROL,0
1,5,CONTROL,1
1,6,CONTROL,1
1,7,CONTROL,0
1,8,CONTROL,0
1,9,CONTROL,1
1,10,CONTROL,0
1,1,BLUE,1
1,2,BLUE,1
1,3,BLUE,1
1,4,BLUE,1
1,5,BLUE,0
1,6,BLUE,1
1,7,BLUE,1
1,8,BLUE,1
1,9,BLUE,0
1,10,BLUE,1
2,1,LEARNING,1
2,2,LEARNING,1
2,3,LEARNING,1
2,4,LEARNING,1
2,5,LEARNING,1
2,6,LEARNING,1
2,7,LEARNING,0
2,8,LEARNING,0
2,9,LEARNING,1
2,10,LEARNING,1
2,1,TRANSFER,1
2,2,TRANSFER,1
2,3,TRANSFER,1
2,4,TRANSFER,1
2,5,TRANSFER,1
2,6,TRANSFER,1
2,7,TRANSFER,1
2,8,TRANSFER,1
2,9,TRANSFER,1
2,10,TRANSFER,1
2,1,CONTROL,1
2,2,CONTROL,1
2,3,CONTROL,0
2,4,CONTROL,1
2,5,CONTROL,0
2,6,CONTROL,1
2,7,CONTROL,0
2,8,CONTROL,1
2,9,CONTROL,1
2,10,CONTROL,0
2,1,BLUE,1
2,2,BLUE,1
2,3,BLUE,1
2,4,BLUE,1
2,5,BLUE,1
2,6,BLUE,1
2,7,BLUE,1
2,8,BLUE,1
2,9,BLUE,0
2,10,BLUE,1
3,1,LEARNING,1
3,2,LEARNING,1
3,3,LEARNING,1
3,4,LEARNING,1
3,5,LEARNING,0
3,6,LEARNING,1
3,7,LEARNING,1
3,8,LEARNING,1
3,9,LEARNING,1
3,10,LEARNING,1
3,1,TRANSFER,1
3,2,TRANSFER,1
3,3,TRANSFER,1
3,4,TRANSFER,0
3,5,TRANSFER,1
3,6,TRANSFER,1
3,7,TRANSFER,1
3,8,TRANSFER,0
3,9,TRANSFER,1
3,10,TRANSFER,1
3,1,CONTROL,0
3,2,CONTROL,1
3,3,CONTROL,1
3,4,CONTROL,1
3,5,CONTROL,0
3,6,CONTROL,1
3,7,CONTROL,1
3,8,CONTROL,0
3,9,CONTROL,1
3,10,CONTROL,1
3,1,BLUE,0
3,2,BLUE,1
3,3,BLUE,1
3,4,BLUE,0
3,5,BLUE,1
3,6,BLUE,1
3,7,BLUE,1
3,8,BLUE,1
3,9,BLUE,0
3,10,BLUE,1
4,1,LEARNING,1
4,2,LEARNING,1
4,3,LEARNING,1
4,4,LEARNING,1
4,5,LEARNING,1
4,6,LEARNING,1
4,7,LEARNING,1
4,8,LEARNING,0
4,9,LEARNING,1
4,10,LEARNING,0
4,1,TRANSFER,1
4,2,TRANSFER,1
4,3,TRANSFER,1
4,4,TRANSFER,0
4,5,TRANSFER,1
4,6,TRANSFER,1
4,7,TRANSFER,1
4,8,TRANSFER,1
4,9,TRANSFER,1
4,10,TRANSFER,1
4,1,CONTROL,1
4,2,CONTROL,1
4,3,CONTROL,1
4,4,CONTROL,1
4,5,CONTROL,1
4,6,CONTROL,0
4,7,CONTROL,1
4,8,CONTROL,1
4,9,CONTROL,1
4,10,CONTROL,1
4,1,BLUE,0
4,2,BLUE,0
4,3,BLUE,1
4,4,BLUE,1
4,5,BLUE,1
4,6,BLUE,0
4,7,BLUE,1
4,8,BLUE,1
4,9,BLUE,1
4,10,BLUE,0
5,1,LEARNING,1
5,2,LEARNING,1
5,3,LEARNING,1
5,4,LEARNING,1
5,5,LEARNING,1
5,6,LEARNING,1
5,7,LEARNING,0
5,8,LEARNING,1
5,9,LEARNING,1
5,10,LEARNING,1
5,1,TRANSFER,1
5,2,TRANSFER,1
5,3,TRANSFER,1
5,4,TRANSFER,1
5,5,TRANSFER,0
5,6,TRANSFER,1
5,7,TRANSFER,0
5,8,TRANSFER,1
5,9,TRANSFER,1
5,10,TRANSFER,0
5,1,CONTROL,1
5,2,CONTROL,1
5,3,CONTROL,1
5,4,CONTROL,1
5,5,CONTROL,1
5,6,CONTROL,1
5,7,CONTROL,1
5,8,CONTROL,1
5,9,CONTROL,1
5,10,CONTROL,0
5,1,BLUE,1
5,2,BLUE,0
5,3,BLUE,1
5,4,BLUE,1
5,5,BLUE,1
5,6,BLUE,0
5,7,BLUE,0
5,8,BLUE,1
5,9,BLUE,1
5,10,BLUE,0
6,1,LEARNING,0
6,2,LEARNING,0
6,3,LEARNING,0
6,4,LEARNING,0
6,5,LEARNING,1
6,6,LEARNING,1
6,7,LEARNING,1
6,8,LEARNING,1
6,9,LEARNING,1
6,10,LEARNING,1
6,1,TRANSFER,1
6,2,TRANSFER,1
6,3,TRANSFER,1
6,4,TRANSFER,1
6,5,TRANSFER,1
6,6,TRANSFER,1
6,7,TRANSFER,0
6,8,TRANSFER,1
6,9,TRANSFER,1
6,10,TRANSFER,1
6,1,CONTROL,0
6,2,CONTROL,0
6,3,CONTROL,0
6,4,CONTROL,1
6,5,CONTROL,1
6,6,CONTROL,1
6,7,CONTROL,1
6,8,CONTROL,1
6,9,CONTROL,0
6,10,CONTROL,0
6,1,BLUE,0
6,2,BLUE,1
6,3,BLUE,0
6,4,BLUE,1
6,5,BLUE,1
6,6,BLUE,1
6,7,BLUE,1
6,8,BLUE,1
6,9,BLUE,1
6,10,BLUE,0
7,1,LEARNING,0
7,2,LEARNING,1
7,3,LEARNING,1
7,4,LEARNING,1
7,5,LEARNING,1
7,6,LEARNING,1
7,7,LEARNING,0
7,8,LEARNING,1
7,9,LEARNING,0
7,10,LEARNING,1
7,1,TRANSFER,1
7,2,TRANSFER,0
7,3,TRANSFER,1
7,4,TRANSFER,1
7,5,TRANSFER,1
7,6,TRANSFER,1
7,7,TRANSFER,1
7,8,TRANSFER,0
7,9,TRANSFER,1
7,10,TRANSFER,1
7,1,CONTROL,1
7,2,CONTROL,1
7,3,CONTROL,1
7,4,CONTROL,0
7,5,CONTROL,0
7,6,CONTROL,1
7,7,CONTROL,1
7,8,CONTROL,1
7,9,CONTROL,0
7,10,CONTROL,1
7,1,BLUE,0
7,2,BLUE,0
7,3,BLUE,1
7,4,BLUE,1
7,5,BLUE,0
7,6,BLUE,0
7,7,BLUE,1
7,8,BLUE,0
7,9,BLUE,1
7,10,BLUE,1
8,1,LEARNING,1
8,2,LEARNING,1
8,3,LEARNING,1
8,4,LEARNING,1
8,5,LEARNING,1
8,6,LEARNING,1
8,7,LEARNING,1
8,8,LEARNING,0
8,9,LEARNING,1
8,10,LEARNING,1
8,1,TRANSFER,1
8,2,TRANSFER,1
8,3,TRANSFER,1
8,4,TRANSFER,1
8,5,TRANSFER,1
8,6,TRANSFER,1
8,7,TRANSFER,0
8,8,TRANSFER,1
8,9,TRANSFER,1
8,10,TRANSFER,1
8,1,CONTROL,1
8,2,CONTROL,0
8,3,CONTROL,1
8,4,CONTROL,0
8,5,CONTROL,1
8,6,CONTROL,1
8,7,CONTROL,1
8,8,CONTROL,1
8,9,CONTROL,0
8,10,CONTROL,1
8,1,BLUE,1
8,2,BLUE,1
8,3,BLUE,1
8,4,BLUE,1
8,5,BLUE,1
8,6,BLUE,1
8,7,BLUE,0
8,8,BLUE,1
8,9,BLUE,1
8,10,BLUE,0
9,1,LEARNING,1
9,2,LEARNING,0
9,3,LEARNING,1
9,4,LEARNING,1
9,5,LEARNING,1
9,6,LEARNING,0
9,7,LEARNING,0
9,8,LEARNING,1
9,9,LEARNING,1
9,10,LEARNING,1
9,1,TRANSFER,1
9,2,TRANSFER,1
9,3,TRANSFER,1
9,4,TRANSFER,1
9,5,TRANSFER,1
9,6,TRANSFER,0
9,7,TRANSFER,0
9,8,TRANSFER,1
9,9,TRANSFER,1
9,10,TRANSFER,1
