wl,D01.1,D01.2,D01.3,D02.1,D02.2,D02.3,D02.4,D03.1,D03.2,D03.3,D04.1,D04.2,D04.3,D05.1,D05.2,D05.3,D06.1,D06.2,D06.3,D07.1,D07.2,D07.3,D08.1,D08.2,D08.3,D08.4,D09.1,D09.2,D09.3,D09.4,D10.1,D10.2,D10.3,D10.4,D11.1,D11.2,D11.3,D11.4,D11.5,D12.1,D12.2,D12.3,D12.4,D13.1,D13.2,D13.3,D13.4
300,16.086875,11.558125,13.879375,9.60625,18.4625,13.868125,15.476875,10.468125,9.86,14.956875,3.844375,15.336875,22.759375,18.8725,10.74125,14.17,24.89625,20.415,17.16875,10.684375,15.120625,19.385625,8.999375,16.43125,17.975,7.701875,8.98375,13.969375,11.789375,15.270625,18.686875,10.07875,21.150625,19.60375,12.0375,17.923125,19.973125,21.549375,17.29625,9.4525,9.6825,18.8525,14.503125,9.88125,13.175625,12.4425,19.400625
301,16.1051875,11.6680625,13.9261875,9.632125,18.48275,13.9280625,15.5646875,10.4980625,9.9555,14.9934375,3.8831875,15.3961875,22.7619375,18.9095,10.793875,14.26975,24.967625,20.466,17.224625,10.7079375,15.1535625,19.4588125,9.0004375,16.480625,17.98075,7.7331875,9.041125,14.0319375,11.8561875,15.3418125,18.7479375,10.145375,21.2083125,19.669625,12.1085,17.9990625,20.0060625,21.5839375,17.323875,9.50675,9.72875,18.92075,14.5550625,9.932875,13.1805625,12.464,19.4548125
302,16.1235,11.778,13.973,9.658,18.503,13.988,15.6525,10.528,10.051,15.03,3.922,15.4555,22.7645,18.9465,10.8465,14.3695,25.039,20.517,17.2805,10.7315,15.1865,19.532,9.0015,16.53,17.9865,7.7645,9.0985,14.0945,11.923,15.413,18.809,10.212,21.266,19.7355,12.1795,18.075,20.039,21.6185,17.3515,9.561,9.775,18.989,14.607,9.9845,13.1855,12.4855,19.509
303,16.13788637,11.98059091,14.07945455,9.6715,18.54922728,14.06968182,15.80920455,10.58922728,10.18640909,15.08454546,3.993272725,15.53093182,22.75520455,18.98234091,10.92825,14.54111364,25.14631818,20.58554546,17.37275,10.77006818,15.24302273,19.64713637,9.030977275,16.61613637,17.98938637,7.81906818,9.18015909,14.17975,12.03968182,15.49581818,18.89472728,10.29986364,21.38595455,19.82206818,12.28952273,18.20636364,20.07222728,21.68538637,17.37484091,9.638227275,9.815227275,19.09495455,14.70781818,10.05770455,13.19706818,12.49911364,19.59404546
304,16.15227273,12.18318182,14.18590909,9.685,18.59545455,14.15136364,15.96590909,10.65045455,10.32181818,15.13909091,4.06454545,15.60636364,22.74590909,19.01818182,11.01,14.71272727,25.25363636,20.65409091,17.465,10.80863636,15.29954545,19.76227273,9.06045455,16.70227273,17.99227273,7.87363636,9.26181818,14.265,12.15636364,15.57863636,18.98045455,10.38772727,21.50590909,19.90863636,12.39954545,18.33772727,20.10545455,21.75227273,17.39818182,9.71545455,9.85545455,19.20090909,14.80863636,10.13090909,13.20863636,12.51272727,19.67909091
305,16.17,12.35090909,14.25909091,9.68818182,18.61363637,14.20636364,16.06613637,10.69954546,10.42909091,15.18181818,4.09272727,15.6859091,22.72772727,19.055,11.05795455,14.84795455,25.345,20.70363637,17.56681818,10.83659091,15.32636364,19.86068182,9.076136365,16.75386364,17.98977273,7.901363635,9.316363635,14.30727273,12.23409091,15.65568182,19.06204546,10.46636364,21.60704546,19.96022727,12.49022727,18.42636364,20.1125,21.78181819,17.41545455,9.7575,9.84636364,19.28522727,14.8725,10.17818182,13.21227273,12.52431818,19.73568182
306,16.18772727,12.51863636,14.33227273,9.69136364,18.63181818,14.26136364,16.16636364,10.74863636,10.53636364,15.22454545,4.12090909,15.76545455,22.70954545,19.09181818,11.10590909,14.98318182,25.43636364,20.75318182,17.66863636,10.86454545,15.35318182,19.95909091,9.09181818,16.80545455,17.98727273,7.92909091,9.37090909,14.34954545,12.31181818,15.73272727,19.14363636,10.545,21.70818182,20.01181818,12.58090909,18.515,20.11954545,21.81136364,17.43272727,9.79954545,9.83727273,19.36954545,14.93636364,10.22545455,13.21590909,12.53590909,19.79227273
307,16.17995059,12.63366601,14.34004941,9.64589921,18.60308301,14.25394269,16.16166008,10.76605731,10.58252965,15.20857708,4.086976285,15.7970751,22.63759881,19.08677866,11.09708498,15.03485178,25.46144269,20.74572135,17.72497036,10.84183794,15.32506917,20.02498024,9.044822135,16.7946838,17.93385376,7.90193676,9.37436759,14.33651186,12.30764822,15.75179842,19.18312253,10.57836957,21.75083004,19.96721344,12.61023716,18.53684783,20.05933794,21.77024704,17.38897233,9.758033595,9.766897235,19.39281621,14.94426878,10.18859684,13.18534585,12.50317194,19.79417985
308,16.17217391,12.74869565,14.34782609,9.60043478,18.57434783,14.24652174,16.15695652,10.78347826,10.62869565,15.1926087,4.05304348,15.82869565,22.56565217,19.08173913,11.08826087,15.08652174,25.48652174,20.73826087,17.78130435,10.81913043,15.29695652,20.09086957,8.99782609,16.78391304,17.88043478,7.87478261,9.37782609,14.32347826,12.30347826,15.77086957,19.2226087,10.61173913,21.79347826,19.9226087,12.63956522,18.55869565,19.99913043,21.72913043,17.34521739,9.71652174,9.69652174,19.41608696,14.95217391,10.15173913,13.15478261,12.47043478,19.79608696
309,16.14040514,12.8370751,14.34732214,9.561581025,18.51081028,14.21257905,16.12097826,10.79128459,10.64730237,15.14653163,4.02470356,15.82298419,22.47418972,19.03382411,11.07935771,15.1030336,25.49894269,20.72140316,17.82951581,10.77979249,15.25893281,20.15066206,8.979594865,16.74922925,17.8018083,7.845573125,9.370731225,14.2778755,12.27901186,15.76725297,19.25516799,10.62836957,21.8278755,19.87380435,12.62205534,18.58639328,19.8988834,21.66070158,17.28556324,9.668033595,9.61735178,19.39827076,14.95949605,10.12450593,13.1233004,12.42635376,19.79167985
310,16.10863636,12.92545455,14.34681818,9.52272727,18.44727273,14.17863636,16.085,10.79909091,10.66590909,15.10045455,3.99636364,15.81727273,22.38272727,18.98590909,11.07045455,15.11954545,25.51136364,20.70454545,17.87772727,10.74045455,15.22090909,20.21045455,8.96136364,16.71454545,17.72318182,7.81636364,9.36363636,14.23227273,12.25454545,15.76363636,19.28772727,10.645,21.86227273,19.825,12.60454545,18.61409091,19.79863636,21.59227273,17.22590909,9.61954545,9.53818182,19.38045455,14.96681818,10.09727273,13.09181818,12.38227273,19.78727273
311,16.08068182,13.01204546,14.35318182,9.512045455,18.35954546,14.15568182,16.03545455,10.81295455,10.68386364,15.07977273,3.975454545,15.78318182,22.31090909,18.94886364,11.0609091,15.13295455,25.5325,20.67227273,17.94022727,10.71613637,15.19431818,20.27136364,8.98,16.68659091,17.65909091,7.79636364,9.346590905,14.17204546,12.23295455,15.77,19.30681818,10.65568182,21.90045455,19.82,12.57,18.66227273,19.71204546,21.53568182,17.16909091,9.575681815,9.471363635,19.35136364,15.00068182,10.08,13.09522727,12.34386364,19.78318182
312,16.05272727,13.09863636,14.35954545,9.50136364,18.27181818,14.13272727,15.98590909,10.82681818,10.70181818,15.05909091,3.95454545,15.74909091,22.23909091,18.91181818,11.05136364,15.14636364,25.55363636,20.64,18.00272727,10.69181818,15.16772727,20.33227273,8.99863636,16.65863636,17.595,7.77636364,9.32954545,14.11181818,12.21136364,15.77636364,19.32590909,10.66636364,21.93863636,19.815,12.53545455,18.71045455,19.62545455,21.47909091,17.11227273,9.53181818,9.40454545,19.32227273,15.03454545,10.06272727,13.09863636,12.30545455,19.77909091
313,15.96590909,13.17204546,14.34295455,9.48,18.09272727,14.07227273,15.90136364,10.80227273,10.72568182,15.03409091,3.88431818,15.66863637,22.10204546,18.86295455,11.0084091,15.12568182,25.58545455,20.58568182,18.07522727,10.63409091,15.10568182,20.40545455,8.988863635,16.58977273,17.52068182,7.70977273,9.285,13.99318182,12.16613637,15.78863637,19.26431818,10.64568182,21.94568182,19.84659091,12.49909091,18.72545455,19.51886364,21.3525,17.02568182,9.487045455,9.30772727,19.24136364,15.05409091,10.0125,13.08318182,12.26295455,19.73295455
314,15.87909091,13.24545455,14.32636364,9.45863636,17.91363636,14.01181818,15.81681818,10.77772727,10.74954545,15.00909091,3.81409091,15.58818182,21.965,18.81409091,10.96545455,15.105,25.61727273,20.53136364,18.14772727,10.57636364,15.04363636,20.47863636,8.97909091,16.52090909,17.44636364,7.64318182,9.24045455,13.87454545,12.12090909,15.80090909,19.20272727,10.625,21.95272727,19.87818182,12.46272727,18.74045455,19.41227273,21.22590909,16.93909091,9.44227273,9.21090909,19.16045455,15.07363636,9.96227273,13.06772727,12.22045455,19.68681818
315,15.75363637,13.28568182,14.32113637,9.43931818,17.72954546,13.96909091,15.75181818,10.75863636,10.77090909,14.97636364,3.765,15.48,21.84409091,18.75045455,10.92159091,15.05272728,25.63659091,20.47477273,18.15954546,10.50431819,14.97431818,20.53477273,8.969545455,16.47659091,17.39159091,7.58727273,9.194318185,13.79295455,12.0775,15.81590909,19.10727273,10.61181818,21.95045455,19.90931819,12.43863636,18.75431819,19.31272728,21.13113637,16.8475,9.417727275,9.14409091,19.0725,15.09636364,9.927954545,13.01045455,12.17613637,19.63590909
316,15.62818182,13.32590909,14.31590909,9.42,17.54545455,13.92636364,15.68681818,10.73954545,10.79227273,14.94363636,3.71590909,15.37181818,21.72318182,18.68681818,10.87772727,15.00045455,25.65590909,20.41818182,18.17136364,10.43227273,14.905,20.59090909,8.96,16.43227273,17.33681818,7.53136364,9.14818182,13.71136364,12.03409091,15.83090909,19.01181818,10.59863636,21.94818182,19.94045455,12.41454545,18.76818182,19.21318182,21.03636364,16.75590909,9.39318182,9.07727273,18.98454545,15.11909091,9.89363636,12.95318182,12.13181818,19.585
317,15.39568182,13.3225,14.29181818,9.401363635,17.28772728,13.82772728,15.58522727,10.66568182,10.79068182,14.8475,3.629545455,15.18409091,21.57227273,18.54068182,10.79909091,14.90045455,25.64636364,20.325,18.13727273,10.32909091,14.79590909,20.61545455,8.927045455,16.34363637,17.20681818,7.43659091,9.03977273,13.58181819,11.93636364,15.81318182,18.84659091,10.56454546,21.95,19.95,12.33181818,18.77590909,19.06522728,20.90454546,16.62863637,9.352727275,8.960227275,18.84454545,15.12568182,9.88863636,12.86136364,12.04022727,19.4775
318,15.16318182,13.31909091,14.26772727,9.38272727,17.03,13.72909091,15.48363636,10.59181818,10.78909091,14.75136364,3.54318182,14.99636364,21.42136364,18.39454545,10.72045455,14.80045455,25.63681818,20.23181818,18.10318182,10.22590909,14.68681818,20.64,8.89409091,16.255,17.07681818,7.34181818,8.93136364,13.45227273,11.83863636,15.79545455,18.68136364,10.53045455,21.95181818,19.95954545,12.24909091,18.78363636,18.91727273,20.77272727,16.50136364,9.31227273,8.84318182,18.70454545,15.13227273,9.88363636,12.76954545,11.94863636,19.37
319,14.99181819,13.29340909,14.20590909,9.34272727,16.84613637,13.60636364,15.35636364,10.52727273,10.73159091,14.65113637,3.41159091,14.83909091,21.27318182,18.24886364,10.60022728,14.66431819,25.57636364,20.10659091,18.03568182,10.13909091,14.57818182,20.62295455,8.834545455,16.15318182,16.95909091,7.248636365,8.79659091,13.31454546,11.69181818,15.73431819,18.5084091,10.4675,21.92204546,19.89340909,12.14386364,18.72477273,18.79818182,20.63454546,16.3709091,9.24840909,8.68409091,18.56613636,15.09863637,9.846590905,12.70159091,11.84409091,19.25386364
320,14.82045455,13.26772727,14.14409091,9.30272727,16.66227273,13.48363636,15.22909091,10.46272727,10.67409091,14.55090909,3.28,14.68181818,21.125,18.10318182,10.48,14.52818182,25.51590909,19.98136364,17.96818182,10.05227273,14.46954545,20.60590909,8.775,16.05136364,16.84136364,7.15545455,8.66181818,13.17681818,11.545,15.67318182,18.33545455,10.40454545,21.89227273,19.82727273,12.03863636,18.66590909,18.67909091,20.49636364,16.24045455,9.18454545,8.525,18.42772727,15.065,9.80954545,12.63363636,11.73954545,19.13772727
321,14.60609684,13.15712451,14.02748024,9.195059285,16.44070158,13.27247036,15.02193676,10.33679842,10.51965415,14.3715415,3.07978261,14.53025692,20.88489131,17.91419961,10.28978261,14.29517787,25.36708498,19.79198617,17.8393083,9.90874506,14.34325099,20.5092589,8.651413045,15.89242095,16.70329052,6.997944665,8.48916996,12.97253953,11.32336957,15.5320257,18.08403163,10.26922925,21.79004941,19.6603755,11.87910079,18.47034585,18.4910672,20.28926878,16.06153163,9.02988142,8.276630435,18.22560277,14.92228261,9.706077075,12.52747036,11.59390316,18.9697332
322,14.39173913,13.04652174,13.91086957,9.0873913,16.21913043,13.06130435,14.81478261,10.21086957,10.36521739,14.19217391,2.87956522,14.37869565,20.64478261,17.72521739,10.09956522,14.06217391,25.21826087,19.6026087,17.71043478,9.76521739,14.21695652,20.4126087,8.52782609,15.73347826,16.56521739,6.84043478,8.31652174,12.76826087,11.10173913,15.39086957,17.8326087,10.13391304,21.68782609,19.49347826,11.71956522,18.27478261,18.30304348,20.08217391,15.8826087,8.87521739,8.02826087,18.02347826,14.77956522,9.6026087,12.42130435,11.44826087,18.80173913
323,14.15541502,12.91144269,13.78338933,8.98210474,16.0038834,12.86610672,14.59307313,10.08975297,10.2026087,13.98767787,2.69728261,14.23821146,20.42784585,17.53965415,9.911146245,13.82926878,25.05753953,19.39289526,17.57203557,9.61147233,14.09961463,20.28494072,8.4059585,15.56901186,16.40533597,6.689990115,8.16735178,12.58185771,10.86427866,15.24270751,17.60062253,9.98604743,21.57209487,19.33219368,11.53932807,18.07170949,18.09061265,19.89040514,15.70448617,8.69056324,7.793221345,17.81764822,14.62228261,9.498577075,12.29201581,11.29913044,18.64109684
324,13.91909091,12.77636364,13.65590909,8.87681818,15.78863636,12.67090909,14.37136364,9.96863636,10.04,13.78318182,2.515,14.09772727,20.21090909,17.35409091,9.72272727,13.59636364,24.89681818,19.18318182,17.43363636,9.45772727,13.98227273,20.15727273,8.28409091,15.40454545,16.24545455,6.53954545,8.01818182,12.39545455,10.62681818,15.09454545,17.36863636,9.83818182,21.45636364,19.17090909,11.35909091,17.86863636,17.87818182,19.69863636,15.52636364,8.50590909,7.55818182,17.61181818,14.465,9.39454545,12.16272727,11.15,18.48045455
325,13.76272728,12.6934091,13.53568182,8.813863635,15.63659091,12.50886364,14.16272728,9.866363635,9.908863635,13.61977273,2.35318182,14.00977273,20.03363637,17.22727273,9.56272727,13.40886364,24.76159091,19.00454546,17.35022727,9.348181815,13.90045455,20.03931819,8.192727275,15.25295455,16.11386364,6.414090905,7.90659091,12.24363637,10.40954546,14.95590909,17.18772727,9.702045455,21.36772728,19.07045455,11.21681818,17.67681818,17.71886364,19.5175,15.38795455,8.33909091,7.39227273,17.46022727,14.32772728,9.325,12.08863636,11.03090909,18.37704546
326,13.60636364,12.61045455,13.41545455,8.75090909,15.48454545,12.34681818,13.95409091,9.76409091,9.77772727,13.45636364,2.19136364,13.92181818,19.85636364,17.10045455,9.40272727,13.22136364,24.62636364,18.82590909,17.26681818,9.23863636,13.81863636,19.92136364,8.10136364,15.10136364,15.98227273,6.28863636,7.795,12.09181818,10.19227273,14.81727273,17.00681818,9.56590909,21.27909091,18.97,11.07454545,17.485,17.55954545,19.33636364,15.24954545,8.17227273,7.22636364,17.30863636,14.19045455,9.25545455,12.01454545,10.91181818,18.27363636
327,13.50545455,12.53772728,13.29886364,8.688636365,15.31590909,12.17522727,13.70340909,9.675227275,9.620681815,13.31227273,1.990909095,13.83431818,19.6625,16.97,9.199545455,12.96704546,24.4775,18.59636364,17.20159091,9.1325,13.73227273,19.80931819,8.05636364,14.93159091,15.89613637,6.136363635,7.691363635,11.92295455,9.93159091,14.67363637,16.80931818,9.40068182,21.16636364,18.87159091,10.95045455,17.24590909,17.37045455,19.10681819,15.08227273,7.98340909,7.07659091,17.13272727,14.035,9.1825,11.93590909,10.80681818,18.15295455
328,13.40454545,12.465,13.18227273,8.62636364,15.14727273,12.00363636,13.45272727,9.58636364,9.46363636,13.16818182,1.79045455,13.74681818,19.46863636,16.83954545,8.99636364,12.71272727,24.32863636,18.36681818,17.13636364,9.02636364,13.64590909,19.69727273,8.01136364,14.76181818,15.81,5.98409091,7.58772727,11.75409091,9.67090909,14.53,16.61181818,9.23545455,21.05363636,18.77318182,10.82636364,17.00681818,17.18136364,18.87727273,14.915,7.79454545,6.92681818,16.95681818,13.87954545,9.10954545,11.85727273,10.70181818,18.03227273
329,13.31886364,12.38727273,13.09545455,8.57886364,14.97909091,11.85977273,13.25704546,9.50659091,9.3475,13.05068182,1.65409091,13.65363637,19.32068182,16.74977273,8.838409095,12.47477273,24.21431818,18.19818182,17.06227273,8.9425,13.57909091,19.61136364,8.004545455,14.645,15.77431818,5.847954545,7.52159091,11.62522728,9.49068182,14.45204546,16.43886364,9.12727273,20.95272727,18.70818182,10.74613637,16.81636364,17.02068182,18.67068182,14.79795455,7.625454545,6.852045455,16.80954546,13.75318182,9.04204545,11.79477273,10.63818182,17.93318182
330,13.23318182,12.30954545,13.00863636,8.53136364,14.81090909,11.71590909,13.06136364,9.42681818,9.23136364,12.93318182,1.51772727,13.56045455,19.17272727,16.66,8.68045455,12.23681818,24.1,18.02954545,16.98818182,8.85863636,13.51227273,19.52545455,7.99772727,14.52818182,15.73863636,5.71181818,7.45545455,11.49636364,9.31045455,14.37409091,16.26590909,9.01909091,20.85181818,18.64318182,10.66590909,16.62590909,16.86,18.46409091,14.68090909,7.45636364,6.77727273,16.66227273,13.62681818,8.97454545,11.73227273,10.57454545,17.83409091
331,13.12181819,12.18590909,12.89454546,8.473636365,14.58727273,11.53840909,12.81068182,9.311363635,9.085909095,12.79659091,1.352954545,13.38568182,19.01159091,16.55840909,8.4975,11.91477273,23.97522728,17.81772727,16.86613637,8.778863635,13.39659091,19.40954546,7.975,14.36636364,15.68204546,5.576363635,7.366136365,11.34159091,9.078636365,14.28886364,16.05136364,8.881363635,20.6975,18.55522728,10.55613637,16.42113637,16.65409091,18.20636364,14.53431818,7.255909095,6.67727273,16.46954546,13.47022727,8.87454545,11.65454546,10.47409091,17.68522728
332,13.01045455,12.06227273,12.78045455,8.41590909,14.36363636,11.36090909,12.56,9.19590909,8.94045455,12.66,1.18818182,13.21090909,18.85045455,16.45681818,8.31454545,11.59272727,23.85045455,17.60590909,16.74409091,8.69909091,13.28090909,19.29363636,7.95227273,14.20454545,15.62545455,5.44090909,7.27681818,11.18681818,8.84681818,14.20363636,15.83681818,8.74363636,20.54318182,18.46727273,10.44636364,16.21636364,16.44818182,17.94863636,14.38772727,7.05545455,6.57727273,16.27681818,13.31363636,8.77454545,11.57681818,10.37363636,17.53636364
333,12.9525,11.94818182,12.67568182,8.373863635,14.18386364,11.19977273,12.3175,9.104545455,8.812727275,12.56,1.062727275,13.07545455,18.7109091,16.37295455,8.169772725,11.3125,23.72772728,17.41772727,16.6275,8.62977273,13.15590909,19.19204546,7.91977273,14.06022727,15.58386364,5.35181818,7.17522727,11.04863637,8.646136365,14.12454546,15.67704546,8.623181815,20.39590909,18.35272728,10.34068182,16.04363637,16.27863637,17.73568182,14.27363636,6.88409091,6.462727275,16.12886364,13.15545455,8.679090905,11.52363637,10.29795455,17.42181819
334,12.89454545,11.83409091,12.57090909,8.33181818,14.00409091,11.03863636,12.075,9.01318182,8.685,12.46,0.93727273,12.94,18.57136364,16.28909091,8.025,11.03227273,23.605,17.22954545,16.51090909,8.56045455,13.03090909,19.09045455,7.88727273,13.91590909,15.54227273,5.26272727,7.07363636,10.91045455,8.44545455,14.04545455,15.51727273,8.50272727,20.24863636,18.23818182,10.235,15.87090909,16.10909091,17.52272727,14.15954545,6.71272727,6.34818182,15.98090909,12.99727273,8.58363636,11.47045455,10.22227273,17.30727273
335,12.82162055,11.64313241,12.4365415,8.27612648,13.79900198,10.84214427,11.79206522,8.86659091,8.531413045,12.35304348,0.80102767,12.77869565,18.40242095,16.1810672,7.85880435,10.68265811,23.43554348,16.98781621,16.34936759,8.44066206,12.87349803,18.96914032,7.82754941,13.71882411,15.46939724,5.15245059,6.929209485,10.74196641,8.21990119,13.92185771,15.34146245,8.349841895,20.03301383,18.06474309,10.08293479,15.66849803,15.88671937,17.2772332,14.03390316,6.487885375,6.16561265,15.80741107,12.7753755,8.436383395,11.39066206,10.13222332,17.14581028
336,12.74869565,11.45217391,12.30217391,8.22043478,13.59391304,10.64565217,11.50913043,8.72,8.37782609,12.24608696,0.66478261,12.6173913,18.23347826,16.07304348,7.6926087,10.33304348,23.26608696,16.74608696,16.18782609,8.32086957,12.71608696,18.84782609,7.76782609,13.52173913,15.39652174,5.04217391,6.78478261,10.57347826,7.99434783,13.79826087,15.16565217,8.19695652,19.8173913,17.89130435,9.93086957,15.46608696,15.66434783,17.03173913,13.90826087,6.26304348,5.98304348,15.63391304,12.55347826,8.28913043,11.31086957,10.04217391,16.98434783
337,12.63230237,11.26085968,12.13881423,8.130671935,13.38150198,10.41987154,11.23411067,8.540227275,8.20027668,12.10667985,0.51466403,12.44505929,18.03423913,15.96788538,7.529258895,9.97743083,23.06327076,16.50440712,15.99300396,8.158616605,12.56099803,18.69709487,7.6709585,13.30632411,15.28916996,4.91745059,6.61693676,10.38583004,7.78331028,13.64549407,14.95509881,8.05506917,19.58846838,17.69201581,9.76588933,15.22031621,15.44762846,16.75632411,13.77867589,6.00743083,5.75743083,15.43263834,12.31242095,8.13001976,11.21429842,9.92745059,16.82444664
338,12.51590909,11.06954545,11.97545455,8.04090909,13.16909091,10.19409091,10.95909091,8.36045455,8.02272727,11.96727273,0.36454545,12.27272727,17.835,15.86272727,7.36590909,9.62181818,22.86045455,16.26272727,15.79818182,7.99636364,12.40590909,18.54636364,7.57409091,13.09090909,15.18181818,4.79272727,6.44909091,10.19818182,7.57227273,13.49272727,14.74454545,7.91318182,19.35954545,17.49272727,9.60090909,14.97454545,15.23090909,16.48090909,13.64909091,5.75181818,5.53181818,15.23136364,12.07136364,7.97090909,11.11772727,9.81272727,16.66454545
339,12.36360672,10.90477273,11.82750989,7.925454545,12.95367589,9.95921937,10.71128459,8.15914032,7.836581025,11.81820158,0.19835968,12.09440712,17.6351087,15.73614625,7.2090415,9.304822135,22.6621838,16.02049407,15.62039526,7.838616605,12.2616502,18.37926878,7.43291502,12.88306324,15.04221344,4.67592885,6.26998024,10.01496048,7.36548419,13.29527668,14.52879447,7.752677865,19.15085968,17.31071146,9.436976285,14.71835968,15.02480237,16.22610672,13.49715415,5.52264822,5.288083005,15.02763834,11.84937747,7.83284585,10.97908103,9.676581025,16.50879447
