wl,ref
300.321,13.41
300.774,13.48
301.227,13.54
301.681,13.55
302.134,13.58
302.587,13.63
303.04,13.6
303.493,13.55
303.946,13.55
304.399,13.55
304.852,13.54
305.304,13.53
305.757,13.53
306.21,13.59
306.663,13.58
307.115,13.52
307.568,13.43
308.02,13.4
308.473,13.33
308.925,13.27
309.378,13.14
309.83,12.99
310.283,12.93
310.735,12.94
311.187,12.82
311.639,12.78
312.091,12.77
312.544,12.79
312.996,12.82
313.448,12.87
313.9,12.96
314.352,13.05
314.804,13.22
315.255,13.36
315.707,13.41
316.159,13.52
316.611,13.69
317.062,13.82
317.514,13.9
317.966,14.11
318.417,14.29
318.869,14.35
319.32,14.49
319.772,14.59
320.223,14.71
320.674,14.88
321.126,15.06
321.577,15.23
322.028,15.43
322.479,15.67
322.93,15.72
323.381,15.86
323.832,16.03
324.283,16.14
324.734,16.23
325.185,16.35
325.636,16.46
326.087,16.54
326.538,16.55
326.988,16.56
327.439,16.56
327.89,16.55
328.34,16.67
328.791,16.74
329.241,16.8
329.692,16.91
330.142,16.83
330.593,16.86
331.043,16.82
331.493,16.74
331.943,16.73
332.394,16.75
332.844,16.8
333.294,16.65
333.744,16.61
334.194,16.62
334.644,16.42
335.094,16.43
335.544,16.28
335.994,16.31
336.443,16.35
336.893,16.34
337.343,16.25
337.792,16.19
338.242,16.16
338.692,16.07
339.141,15.96
339.591,15.97
340.04,15.95
340.489,15.95
340.939,15.93
341.388,15.93
341.837,15.88
342.287,15.87
342.736,15.86
343.185,15.8
343.634,15.78
344.083,15.77
344.532,15.78
344.981,15.78
345.43,15.82
345.879,15.78
346.327,15.77
346.776,15.78
347.225,15.81
347.673,15.83
348.122,15.93
348.571,15.9
349.019,15.94
349.468,15.96
349.916,15.95
350.364,15.87
350.813,15.88
351.261,15.87
351.709,15.82
352.158,15.79
352.606,15.72
353.054,15.62
353.502,15.63
353.95,15.61
354.398,15.56
354.846,15.5
355.294,15.51
355.742,15.44
356.189,15.39
356.637,15.38
357.085,15.32
357.533,15.33
357.98,15.31
358.428,15.3
358.875,15.25
359.323,15.16
359.77,15.16
360.218,15.08
360.665,15.13
361.112,15.12
361.559,15.14
362.007,15.17
362.454,15.21
362.901,15.23
363.348,15.24
363.795,15.28
364.242,15.34
364.689,15.37
365.136,15.41
365.583,15.4
366.029,15.49
366.476,15.53
366.923,15.55
367.369,15.58
367.816,15.63
368.263,15.6
368.709,15.61
369.156,15.71
369.602,15.74
370.048,15.77
370.495,15.82
370.941,15.73
371.387,15.72
371.833,15.71
372.279,15.71
372.726,15.66
373.172,15.71
373.618,15.71
374.064,15.64
374.509,15.63
374.955,15.69
375.401,15.67
375.847,15.69
376.293,15.72
376.738,15.74
377.184,15.72
377.63,15.8
378.075,15.82
378.521,15.87
378.966,15.9
379.411,15.92
379.857,15.94
380.302,15.97
380.747,16.01
381.192,16.04
381.638,16.07
382.083,16.14
382.528,16.15
382.973,16.2
383.418,16.25
383.863,16.33
384.308,16.38
384.752,16.42
385.197,16.47
385.642,16.55
386.087,16.61
386.531,16.7
386.976,16.77
387.42,16.89
387.865,16.96
388.309,17.01
388.754,17.1
389.198,17.17
389.642,17.26
390.087,17.34
390.531,17.43
390.975,17.5
391.419,17.56
391.863,17.6
392.307,17.66
392.751,17.72
393.195,17.78
393.639,17.84
394.083,17.91
394.527,17.98
394.97,18.08
395.414,18.17
395.858,18.29
396.301,18.41
396.745,18.52
397.188,18.61
397.632,18.73
398.075,18.85
398.519,18.98
398.962,19.15
399.405,19.27
399.848,19.39
400.291,19.5
400.735,19.62
401.178,19.72
401.621,19.87
402.064,20.01
402.507,20.16
402.949,20.3
403.392,20.53
403.835,20.68
404.278,20.86
404.72,21.09
405.163,21.32
405.606,21.55
406.048,21.82
406.491,22.08
406.933,22.36
407.376,22.69
407.818,23.06
408.26,23.36
408.702,23.76
409.145,24.17
409.587,24.53
410.029,24.89
410.471,25.25
410.913,25.6
411.355,25.99
411.797,26.4
412.239,26.78
412.68,27.18
413.122,27.6
413.564,27.93
414.006,28.28
414.447,28.63
414.889,28.9
415.33,29.19
415.772,29.44
416.213,29.59
416.655,29.71
417.096,29.8
417.537,29.87
417.978,29.89
418.42,29.95
418.861,29.99
419.302,30.05
419.743,30.16
420.184,30.25
420.625,30.36
421.066,30.48
421.506,30.59
421.947,30.71
422.388,30.82
422.829,30.95
423.269,31.12
423.71,31.28
424.15,31.49
424.591,31.7
425.031,31.91
425.472,32.09
425.912,32.3
426.352,32.56
