wl,Ir_10r1,Ir_10r2,Ir_10r3,Ir_10r4,Ir_15r1,Ir_15r2,Ir_15r3,Ir_15r4,Ir_20r1,Ir_20r2,Ir_20r3,Ir_20r4,Ir_25r1,Ir_25r2,Ir_25r3,Ir_25r4,Ir_30r1,Ir_30r2,Ir_30r3,Ir_30r4
300,106.68,113.266875,148.74,123.856875,125.798125,112.71625,129.2625,116.514375,122.2975,124.31875,130.0675,130.23875,141.93125,137.653125,138.318125,142.710625,141.176875,144.003125,168.8125,146.85
302,107.038,113.633,149.1995,124.273,126.2525,113.0975,129.686,116.931,122.736,124.715,130.5415,130.664,142.379,138.139,138.8015,143.1865,141.703,144.502,169.4525,147.3825
304,107.4,113.9645455,149.6245455,124.6590909,126.68,113.4595455,130.0731818,117.3304545,123.1595455,125.1059091,131.0068182,131.0863636,142.8154545,138.6272727,139.2709091,143.6440909,142.2440909,145.0168182,170.0859091,147.9104545
306,107.4327273,113.9218182,149.5436364,124.6040909,126.7340909,113.5059091,130.0713636,117.38,123.22,125.1377273,131.0490909,131.1145455,142.7763636,138.6895455,139.3309091,143.655,142.3127273,145.0736364,170.0836364,147.9890909
308,106.8295652,113.1956522,148.5630435,123.7878261,126.0452174,112.8373913,129.2856522,116.7069565,122.5478261,124.4134783,130.2713043,130.3195652,141.866087,137.873913,138.5304348,142.7291304,141.4473913,144.1921739,169.0417391,147.1252174
310,106.0436364,112.2909091,147.3218182,122.7654545,125.09,111.9390909,128.265,115.7718182,121.6540909,123.4768182,129.2663636,129.2954545,140.75,136.7781818,137.4609091,141.5645455,140.3140909,143.0590909,167.7072727,145.9481818
312,105.6618182,111.8240909,146.6868182,122.1881818,124.6481818,111.4977273,127.76,115.2731818,121.3,123.0954545,128.8322727,128.8504545,140.3368182,136.3381818,136.9954545,141.0754545,139.8286364,142.5931818,167.1659091,145.4195455
314,105.8777273,112,146.8936364,122.2868182,125,111.7204545,128.0145455,115.475,121.7895455,123.5059091,129.26,129.2436364,140.9736364,136.8609091,137.4990909,141.5881818,140.2354545,143.0072727,167.7304545,145.8204545
316,106.46,112.5959091,147.7322727,122.9277273,125.7672727,112.3095455,128.7286364,116.1145455,122.69,124.3204545,130.1768182,130.0686364,142.1490909,137.8413636,138.4804545,142.6040909,141.0795455,143.82,168.9118182,146.6590909
318,107.4245455,113.5768182,149.0922727,124.0268182,126.9236364,113.2636364,129.8409091,117.1531818,124.0090909,125.5686364,131.5659091,131.3959091,143.8436364,139.2813636,139.9277273,144.1904545,142.2963636,144.9704545,170.6618182,147.8563636
320,108.1659091,114.3390909,150.1222727,124.8740909,127.8040909,114.0127273,130.6809091,117.9636364,124.9663636,126.52,132.5809091,132.4222727,144.9890909,140.3313636,140.9436364,145.2872727,143.0995455,145.7145455,171.8027273,148.6440909
322,108.6991304,114.8917391,150.8126087,125.5004348,128.3926087,114.5547826,131.2417391,118.5517391,125.5956522,127.1813043,133.263913,133.1152174,145.5852174,140.8686957,141.4469565,145.8,143.3956522,145.9726087,172.2386957,148.9608696
324,108.9790909,115.1581818,151.1440909,125.83,128.6281818,114.7909091,131.4381818,118.8081818,125.7886364,127.4545455,133.545,133.37,145.5531818,140.7854545,141.3131818,145.6904545,143.2481818,145.7640909,172.1436364,148.7668182
326,109.0068182,115.1395455,151.0513636,125.7940909,128.5072727,114.7122727,131.2986364,118.7081818,125.5963636,127.35,133.4068182,133.2172727,144.9509091,140.2081818,140.6686364,145.0718182,142.88,145.3322727,171.7118182,148.2959091
328,108.8286364,114.9104545,150.6122727,125.4754545,128.1227273,114.3940909,130.9177273,118.3104545,125.1018182,126.9659091,132.9231818,132.7004545,143.8754545,139.2145455,139.605,143.9527273,142.4413636,144.8868182,171.0436364,147.7218182
330,108.5040909,114.5154545,150.0168182,125.0368182,127.5927273,113.93,130.4045455,117.8159091,124.4922727,126.4027273,132.3209091,132.0490909,142.935,138.2777273,138.6777273,142.9945455,142.1504545,144.6454545,170.6454545,147.3895455
332,107.8659091,113.8318182,149.04,124.2936364,126.7109091,113.1363636,129.5290909,117,123.4786364,125.4568182,131.3081818,130.9995455,141.8022727,137.1318182,137.5768182,141.8872727,142.0504545,144.5468182,170.5790909,147.2118182
334,107.1931818,113.1504545,148.0909091,123.5663636,125.8940909,112.4004545,128.7277273,116.2631818,122.6072727,124.5972727,130.3818182,130.0636364,141.0677273,136.3990909,136.9018182,141.1754545,142.2290909,144.7645455,170.9327273,147.3795455
336,106.333913,112.2778261,146.9347826,122.6708696,124.9895652,111.6208696,127.7921739,115.4573913,121.7313043,123.6986957,129.3969565,129.0913043,140.5973913,135.9326087,136.5647826,140.6904348,142.8426087,145.4869565,171.8082609,148.0665217
338,105.4436364,111.3281818,145.7054545,121.7213636,124.1090909,110.9004545,126.8731818,114.7040909,120.9745455,122.8672727,128.5709091,128.2672727,140.4086364,135.76,136.5463636,140.5159091,143.77,146.52,173.0513636,149.0918182
340,104.5926087,110.4004348,144.5230435,120.7495652,123.3686957,110.3426087,126.1334783,114.0765217,120.4917391,122.36,128.0395652,127.7626087,140.6526087,136.0204348,136.9378261,140.8056522,145.156087,147.9521739,174.7026087,150.5243478
342,103.825,109.5572727,143.4468182,119.8222727,122.7877273,109.9063636,125.5363636,113.6118182,120.2263636,122.0645455,127.7036364,127.4913636,141.195,136.5718182,137.5863636,141.4013636,146.6654545,149.5304545,176.5236364,152.0818182
344,103.3009091,108.9772727,142.6672727,119.1668182,122.5259091,109.6963636,125.2322727,113.3777273,120.2436364,122.0822727,127.6913636,127.565,142.0418182,137.4131818,138.4781818,142.3031818,148.0677273,150.9818182,178.1868182,153.5336364
346,102.8827273,108.5259091,141.9240909,118.625,122.5545455,109.7159091,125.2063636,113.3631818,120.5227273,122.3990909,128.0377273,127.9859091,143.4872727,138.8581818,139.8940909,143.7963636,149.605,152.5772727,180.0586364,155.1609091
348,102.7513636,108.4345455,141.6004545,118.4545455,122.8536364,109.955,125.4731818,113.6013636,120.9459091,122.8890909,128.5504545,128.5359091,144.8504545,140.1681818,141.175,145.1463636,150.5054545,153.5118182,181.1886364,156.1740909
350,102.8740909,108.6127273,141.6009091,118.5809091,123.5586364,110.53,126.1140909,114.2227273,121.76,123.7254545,129.4318182,129.4127273,146.6168182,141.8440909,142.8,146.8390909,151.0422727,154.0709091,181.9763636,156.8559091
352,103.1922727,108.9681818,141.9222727,118.9740909,124.3295455,111.2154545,126.9077273,114.9345455,122.6254545,124.58,130.3609091,130.3127273,147.8359091,143.05,143.9722727,148.0618182,151.0295455,154.0663636,182.0259091,156.9681818
354,103.766087,109.583913,142.6226087,119.6695652,125.283913,112.1691304,127.9969565,115.8991304,123.7417391,125.6830435,131.5434783,131.5008696,148.7282609,144.0221739,144.8552174,149.0143478,150.5534783,153.5586957,181.4786957,156.5734783
356,104.5190909,110.4090909,143.6086364,120.5572727,126.2913636,113.2090909,129.1886364,116.9677273,124.905,126.8677273,132.7686364,132.7704545,149.2045455,144.5836364,145.3181818,149.5613636,149.8136364,152.7790909,180.54,155.8777273
358,105.4743478,111.4421739,144.9543478,121.693913,127.2934783,114.2204348,130.383913,118.0408696,125.9721739,127.9804348,133.8730435,133.9065217,149.013913,144.4608696,145.0521739,149.3921739,148.7934783,151.7213043,179.3004348,154.8204348
360,106.5140909,112.55,146.4,122.9318182,128.2331818,115.1418182,131.4859091,119.025,126.8509091,128.8890909,134.7818182,134.8259091,148.3395455,143.8413636,144.3177273,148.7386364,147.6786364,150.58,178.0009091,153.6354545
362,107.6047826,113.6447826,147.8982609,124.1513043,129.0508696,115.8769565,132.3234783,119.8291304,127.3156522,129.3443478,135.2682609,135.2291304,147.1756522,142.6317391,143.0513043,147.4704348,146.533913,149.3813043,176.7313043,152.3804348
364,108.6245455,114.6972727,149.3245455,125.2818182,129.7418182,116.4545455,132.9618182,120.4727273,127.4118182,129.4372727,135.3736364,135.2327273,145.8290909,141.1954545,141.6136364,146.0090909,145.4468182,148.2604545,175.5240909,151.1859091
366,109.3804348,115.4586957,150.3804348,126.1395652,130.1343478,116.7369565,133.2404348,120.7843478,126.9234783,128.9169565,134.8717391,134.6252174,144.3830435,139.6630435,140.16,144.4982609,144.5230435,147.2791304,174.4434783,150.1082609
368,109.8890909,115.97,151.0404545,126.7,130.2772727,116.8013636,133.2604545,120.87,126.1054545,128.0522727,134.0340909,133.6654545,142.9822727,138.21,138.8204545,143.0995455,143.7204545,146.4018182,173.4877273,149.1790909
370,109.946087,116.0247826,151.1021739,126.7543478,130.0208696,116.533913,132.9013043,120.5926087,124.8956522,126.8408696,132.8021739,132.3308696,141.8356522,137.033913,137.7295652,141.9569565,143.1304348,145.7695652,172.7873913,148.5534783
372,109.6781818,115.8013636,150.7254545,126.4913636,129.4413636,116.0340909,132.2945455,120.0404545,123.485,125.4790909,131.3354545,130.8404545,140.87,136.0759091,136.8345455,141.0536364,142.7268182,145.4109091,172.3672727,148.1554545
374,109.0478261,115.1791304,149.8147826,125.8113043,128.4417391,115.2156522,131.3465217,119.1830435,122.0186957,124.0465217,129.7769565,129.3043478,140.1734783,135.3730435,136.1773913,140.3678261,142.6052174,145.4143478,172.3830435,148.0904348
376,108.2327273,114.3486364,148.6245455,124.8731818,127.2304545,114.2,130.1881818,118.1468182,120.6286364,122.6459091,128.2722727,127.8122727,139.6386364,134.7854545,135.6204545,139.7840909,142.7281818,145.6181818,172.7245455,148.2731818
378,107.2886957,113.336087,147.2434783,123.753913,125.8604348,113.046087,128.8352174,116.9473913,119.4465217,121.4143478,126.9986957,126.5804348,139.3265217,134.4304348,135.2708696,139.3934783,143.3517391,146.33,173.5513043,148.9408696
380,106.3145455,112.3195455,145.8163636,122.6377273,124.415,111.8463636,127.425,115.6868182,118.4436364,120.3568182,125.9159091,125.5490909,139.1672727,134.2636364,135.1422727,139.2159091,144.3154545,147.3836364,174.7172727,149.9318182
